Person Name,LinkedIn Profile URL,Image URL
Dan Kong,https://www.linkedin.com/in/dan-k-434793b8/,https://cdn.techinasia.com/wp-content/uploads/2026/01/1769676539_dankong.jpeg
Haochuan Guo,https://www.linkedin.com/in/haochuan-g-518b8a40/,https://cdn.techinasia.com/wp-content/uploads/2026/01/1769676932_haochuan_guo.png
Jerry Ye,https://www.linkedin.com/in/sxye/,https://cdn.techinasia.com/wp-content/uploads/2026/01/1769676556_jerryye.png
Peng Wang,https://cn.linkedin.com/in/peng-wang-7a717077,https://cdn.techinasia.com/wp-content/uploads/2026/01/1769676562_pengwang.jpeg
Raymond Wang,https://sg.linkedin.com/in/54raymond,https://cdn.techinasia.com/wp-content/uploads/2026/01/1769676563_raymondwang.jpeg
Robert Zheng,https://www.linkedin.com/in/robertwzheng/,https://cdn.techinasia.com/wp-content/uploads/2026/01/1769676564_robertzheng.jpeg
Sean Lin,https://sg.linkedin.com/in/linsen986,https://cdn.techinasia.com/wp-content/uploads/2026/01/1769676565_seanlim.jpeg
Sicheng Yu,https://www.linkedin.com/in/sicheng-yu-664938281,https://cdn.techinasia.com/wp-content/uploads/2026/01/1769676540_ethanyu.jpeg
Tao Guan,https://www.linkedin.com/in/tao-guan-1b57aa12,https://cdn.techinasia.com/wp-content/uploads/2026/01/1769676568_taoguan.jpeg
Vakee Lai,https://www.linkedin.com/in/vakee-lai-592ab125,https://cdn.techinasia.com/wp-content/uploads/2026/01/1769676569_vakeelai.jpeg
Wei Liu,https://www.linkedin.com/in/wei-liu-469a7418/,https://cdn.techinasia.com/wp-content/uploads/2026/01/1769676570_weiliu.jpeg
Xiaoxue Wang,https://cn.linkedin.com/in/xiaoxue-wang-5483abb7,https://cdn.techinasia.com/wp-content/uploads/2026/01/1769676571_xiaoxuewang.jpeg
